DocumentTitle;Authors;AuthorAffiliations;PublicationTitle;DateAddedToXplore;PublicationYear;Volume;Issue;StartPage;EndPage;Abstract;ISSN;ISBNs;DOI;FundingInformation;PDFLink;AuthorKeywords;IEEETerms;INSPECControlled Terms;INSPECNon-ControlledTerms;Mesh_Terms;ArticleCitationCount;PatentCitationCount;ReferenceCount;License;OnlineDate;IssueDate;MeetingDate;Publisher;DocumentIdentifier
Disease Recognition of Leaf Disease in Cotton Using KNN, SVM, and CNN Pooling Method;S. Kaur;Centre for Interdisciplinary Research in Business and Technology, Chitkara University Institute of Engineering and Technology, Chitkara University, Punjab, India;2023 2nd International Conference on Edge Computing and Applications (ICECAA);16.8.2023;2023;;;1151;1156;Agriculture is among the most essential domains in many nations, including India. Indian farmers rely heavily on cotton as one of their main income crops. An in-depth analysis of the issue of agricultural production is crucial since a significant portion of the Indian economic structure is dependent on agricultural output. Because of the disease's invasion, cotton productivity decreases every year. Crop disease taxonomy and recognition have risen to its importance in the agricultural sector, both technically and economically. Cotton leaf disease detection is critical in preventing severe occurrences as soon as the disease is recognized. However, maintaining track of crop diseases using the assistance of professionals can be relatively inexpensive in farming areas. There is a need for a technique or instrument that can recognize diseases autonomously since it could revolutionize the surveillance of vast areas of crops and allow for the collection of plant leaflets. Thereby, image processing, deep learning, and machine learning methods can be useful in precisely recognizing cotton leaf diseases. This research aims to examine cotton crop leaf disease recognition using CNN, SVM, and KNN methods.;;979-8-3503-4757-9;10.1109/ICECAA58104.2023.10212116;;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10212116;"Cotton Leaf Disease;Image Processing;Recognition;Classification;Deep Learning;Machine Learning";"Support vector machines;Visualization;Image recognition;Surveillance;Taxonomy;Crops;Agriculture";"agriculture;convolutional neural nets;cotton;crops;deep learning (artificial intelligence);image recognition;nearest neighbour methods;object detection;plant diseases;support vector machines";"agricultural output;agricultural production;agricultural sector;CNN pooling method;cotton crop leaf disease recognition;cotton leaf disease detection;cotton productivity;crop disease taxonomy;deep learning methods;essential domains;farming areas;image processing methods;in-depth analysis;Indian economic structure;Indian farmers;KNN methods;machine learning methods;main income crops;plant leaflets;SVM";;;;37;IEEE;16.8.2023;;;IEEE;IEEE Conferences
Agricultural Crop and Fertilizer Recommendations based on Various Parameters;"B. Mahalakshmi; V. Sakthivel; B. Sumitha Devi; S. Swetha";"Department of CSE, K S Rangasamy College of Technology, Tiruchengode, India; Department of CSE, K S Rangasamy College of Technology, Tiruchengode, India; Department of CSE, K S Rangasamy College of Technology, Tiruchengode, India; Department of CSE, K S Rangasamy College of Technology, Tiruchengode, India";2023 International Conference on Sustainable Computing and Smart Systems (ICSCSS);7.7.2023;2023;;;735;739;Agricultural uncertainty lowers the Tamil Nadu’s productivity because it is a coastal state. More production should be possible only with more people and land, but it is not possible. Farmers used to rely on word-of-mouth, but climate circumstances prevent them from doing so. Soil is one of the important factors in cultivating the crops. The new farmers are unaware about the crop which has to be cultivated in the particular season. To solve this problem, this system helps the farmer to know about the crop which has to be cultivated in the particular season to increase the production of the crops. Machine learning methods allow us to forecast the future and produce a precise model from the data. Agricultural issues like crop rotation, crop forecasting, water and fertilizer requirements, and crop protection can be solved. The need for an effective approach to simplify crop cultivation and the need to assist farmers in managing and producing their crops results from the environment’s unstable climatic conditions. This could enable aspiring farmers to practice better agriculture. With the aid of data mining, a farmer may be given a system of suggestions to aid in crop production. Crops are suggested for use in such a strategy depending on their quantity and meteorological considerations. The analysis of the crop dataset resulted in crop recommendations based on season, soil type, water and productivity. Various techniques like Linear Regression, Support Vector Regression and Adaptive Network Based Fuzzy Inference System (ANFIS) are used in this system, which enable accuracy comparison and assist farmers in selecting the best crop under various situations.;;979-8-3503-3360-2;10.1109/ICSCSS57650.2023.10169320;;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10169320;"Smart Farming;Linear Regression;Support Vector Regression (SVM);Adaptive Neuro-Fuzzy Inference System (ANFIS)";"Productivity;Support vector machines;Smart agriculture;Machine learning algorithms;Uncertainty;Linear regression;Crops";"agriculture;crops;data mining;fertilisers;fuzzy neural nets;fuzzy reasoning;learning (artificial intelligence);regression analysis;soil;support vector machines";"agricultural crop;crop cultivation;crop dataset;crop forecasting;crop production;crop protection;crop recommendations;crop rotation;crops results;farmer;particular season;Tamil Nadu's productivity";;;;20;IEEE;7.7.2023;;;IEEE;IEEE Conferences
Filtering Out High Noise Data for Distributed Deep Neural Networks;"Y. Cui; L. Li; Z. Tao; M. Chen; T. Wei";"Shanghai Key Laboratory of Trustworthy Computing, Shanghai Trusted Industry Internet Software Collaborative Innovation Center, School of Computer Science and Technology, East China Normal University, Shanghai, China; School of Computer Science and Engineering, Nanjing University of Science and Technology, Nanjing, China; Godel Laboratory, Huawei, Shanghai, China; Shanghai Key Laboratory of Trustworthy Computing, East China Normal University, Shanghai, China; Shanghai Key Laboratory of Trustworthy Computing, Shanghai Trusted Industry Internet Software Collaborative Innovation Center, School of Computer Science and Technology, East China Normal University, Shanghai, China";IEEE Transactions on Automation Science and Engineering;5.1.2023;2023;20;1;101;111;Artificial intelligence-based cyber-physical systems (CPS) applications have been spread across various fields such as smart cities, medical services, and industrial controls. When CPS devices are connected to a cloud server, big data streams generated by CPS devices impose enormous bandwidth pressure and exert excessive compute loads to the cloud server. Due to unpredictable environments and uncertainty in reality, these issues are mainly attributed to a large amount of high noise data captured and uploaded by CPS devices. To overcome these issues, this paper proposes a cyber-physical-cloud based framework for distributed deep neural networks (DDNNs) to prevent high noise data from being uploaded to the cloud. The proposed framework features a lightweight data filtering module enabled by depthwise separable convolutions to identify and filter out the high noise data that the cloud cannot recognize. Extensive experimental results demonstrate that the proposed data filtering module can achieve an accuracy of up to 83.72% in identifying high noise data and the proposed framework can effectively save bandwidth of up to 63.42% as compared to benchmarking methods. Note to Practitioners—This paper is motivated by the problems of enormous bandwidth pressure and excessive cloud compute loads in cyber-physical-cloud distributed computing paradigms. These problems are mainly caused by high noise data generated by CPS devices, because CPS devices often work in disturbing and unstable environments and there are uncontrollable uncertainties in reality. Especially for the emerging artificial intelligence-driven cyber-physical-cloud distributed paradigms, there is no existing research to solve the unnecessary transmission and cloud compute loads caused by high noise data. To tackle the challenge, this paper develops a novel cyber-physical-cloud distributed framework with data filtering capabilities to prevent high noise data from being uploaded. The proposed framework supports two popular loosely coupled and closely coupled distributed computing paradigms. Extensive experiments confirm that the proposed cyber-physical-cloud distributed framework can efficiently filter out high noise data and alleviate unnecessary transmission and needless cloud compute loads introduced by high noise data.;1558-3783;;10.1109/TASE.2022.3208027;"National Natural Science Foundation of China(grant numbers:62272169,61872147); Yunnan Academy of Tobacco Agriculture Sciences(grant numbers:2021530000241035); Innovation Fund of Chinese Universities Industry-University-Research(grant numbers:2019ITA02004); ";https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9908578;"Cyber-physical systems (CPS);distributed deep neural networks (DDNNs);high noise data;data filtering;bandwidth savings";"Neural networks;Distributed databases;Deep learning;Bandwidth;Cloud computing;Servers;Performance evaluation";"Big Data;cloud computing;convolutional neural nets;cyber-physical systems;deep learning (artificial intelligence)";"artificial intelligence-driven cyber-physical-cloud distributed paradigm;bandwidth pressure;big data streams;cloud compute load;cloud server;CPS application;CPS devices;cyber-physical-cloud distributed computing;DDNN;depthwise separable convolution;distributed deep neural networks;high noise data filtering;lightweight data filtering";;;;43;IEEE;3.10.2022;;;IEEE;IEEE Journals
Detection of Leaf Diseases in Agricultural Plants Using Machine Learning;"D. Kholiya; A. K. Mishra; A. Dumka; N. K. Pandey; N. Tripathi";"School of Agriculture, Graphic Era Hill University, Dehradun, India; Department of Computer Science & Engineering, Graphic Era Hill University, Dehradun, India; Women Institute of Technology, Dehradun, Uttarakhand, India; School of Computing, DIT University, Dehradun, India; Dept. of Computer Science & Engineering, Graphic Era (Deemed to be University), Dehradun, Uttarakhand, India";2023 International Conference on Computer, Electronics & Electrical Engineering & their Applications (IC2E3);29.9.2023;2023;;;1;7;Identifying plant leaves early on is key to preventing catastrophic outbreaks. An important study area is automatic disease detection in plants. Fungi, bacteria, and viruses are the main culprits in most plant illnesses. Choosing a classification method is always challenging because the quality of the results can differ depending on the input data. A few examples of several classification techniques include K-Nearest Neighbour Classifier (KNN), Probabilistic Neural Network (PNN), Genetic Algorithm, Support Vector Machine (SVM) and Principal Component Analysis, Artificial Neural Network (ANN), and Fuzzy Logic. Classifications of plant leaf diseases have many uses in various industries, including agriculture and biological research. Pre-symptomatic diagnosis and crop health information can aid in the ability to manage pathogens through proper management approaches. Convolutional neural networks (CNNs) are the most widely used DL models for computer vision issues since they have proven very effective in tasks like picture categorization, object detection, image segmentation, etc. The experimental findings demonstrate the proposed model’s superior performance to pre-trained models such as VGG16 and InceptionV3. The range of categorization accuracy is 76% to 100%, based on.;;979-8-3503-3800-3;10.1109/IC2E357697.2023.10262807;;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10262807;"Convolution Neural Network (CNN);Plant leave;Rice leaves;supervised learning;VGG16";"Support vector machines;Pathogens;Image segmentation;Computer vision;Computational modeling;Plants (biology);Crops";"agriculture;computer vision;convolutional neural nets;crops;deep learning (artificial intelligence);feature extraction;image classification;plant diseases";"agricultural plants;bacteria;classification method;CNN;computer vision;convolutional neural networks;crop health information;DL;fungi;leaf disease detection;machine learning;plant illnesses;plant leaf identification;viruses";;;;21;IEEE;29.9.2023;;;IEEE;IEEE Conferences
IOT-based Smart Ground water Recharge System;"M. Uniyal; C. Bhatt; N. Mohd; D. Kumar";"Computer Science Department, Graphic Era Hill University, Dehradun, India; Computer Science Department, Graphic Era Hill University, Dehradun, India; Computer Science Department, Graphic Era Deemed to be University, Dehradun, India; Computer Application Department, ABES Engineering College, Ghaziabad, India";2023 International Conference on Computational Intelligence, Communication Technology and Networking (CICTN);7.6.2023;2023;;;270;274;Water is the most important commodity for the existence of life. In India, the main sources of water are rainwater(monsoon) that fills the rivers with water and underground water. However, we have seen a steady decline in underground water levels across India at an alarming rate that affects the agriculture and daily water needs of the citizens. This paper suggests a smart ground water recharge system that automatically recharges the ground water after rain falls. The system uses smart IOT devices, solar panels, and a filter to filter out unwanted materials that come along the rainwater. In this paper a fully automatic rainwater harvesting is introduced that collects rainwater and filters out dirt and unwanted materials(trash) that comes along the rain. It also senses the acidic content of rain and filters it out when needed. Later on, the filtered water can be directly recharged in ground, or it can also be collected in artificial pools for irrigation purposes. Polluted water can be very harmful for our environment and food cycle.;;979-8-3503-3802-7;10.1109/CICTN57981.2023.10140787;;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10140787;"Rainwater harvesting;solar panel;floods;water logging;aquifers;IOT devices;rainwater filter";"Irrigation;Rain;Water pollution;Communications technology;Rivers;Solar panels;Internet of Things";"agriculture;Internet of Things;irrigation;rain;solar panels (photovoltaic);water conservation;water storage";"daily water needs;filtered water;fully automatic rainwater harvesting;important commodity;India;IOT-based smart ground water recharge system;polluted water;rain;smart IOT devices;underground water levels;unwanted materials";;;;15;IEEE;7.6.2023;;;IEEE;IEEE Conferences
FCBTYOLO: A Lightweight and High-Performance Fine Grain Detection Strategy for Rice Pests;"Y. Yang; Y. Xiao; Z. Chen; D. Tang; Z. Li; Z. Li";"College of Information Engineering, Sichuan Agricultural University, Ya’an, China; College of Information Engineering, Sichuan Agricultural University, Ya’an, China; Sichuan Key Laboratory of Agricultural Information Engineering, Ya’an, China; Sichuan Key Laboratory of Agricultural Information Engineering, Ya’an, China; College of Information Engineering, Sichuan Agricultural University, Ya’an, China; College of Information Engineering, Sichuan Agricultural University, Ya’an, China";IEEE Access;22.9.2023;2023;11;;101286;101295;Frequent pest infestations in rice can substantially decrease rice yield, severely hindering agricultural production. Computer vision can assist farmers in timely locating and removing partial or even entire plants infested with pests, achieving pest control. However, the size and population density variance of paddy pests commonly cause interclass and intraclass differences in pest datasets, as well as an imbalance in hard samples. In addition, existing deep learning models struggle to balance compactness with high detection accuracy. This paper addresses these challenges by constructing the GPest14 dataset using FastGAN image generation technology, web crawlers, and manual selection. This is a large-scale rice pest dataset containing 14 categories suitable for training fine-grained visual detection tasks of rice pests. This work proposes the Fully Connected Bottleneck Transformer (FCBT) module, implants it into the tail of the YOLOv8n architecture backbone, and constructs the FCBTYOLO object detection model. Results indicate that the Gpest14 dataset increases by at least 12.2% in mean Average Precision (mAP) across major detection models. Simultaneously, our proposed FCBTYOLO model can achieve an average precision (mAP@50) of 93.6% with the network training weights constrained to a mere 6.7MB, and it only requires 16.8 milliseconds to detect a single pest image. FCBTYOLO has been validated on the large-scale public Pest24 dataset, where it can achieve a 1.1% improvement in mAP over the YOLOv8n model while maintaining the training weight at 8.3MB. Compared with existing pest detection models, FCBTYOLO exhibits lighter, superior performance and is more suitable for field-embedded deployment in digital agriculture.;2169-3536;;10.1109/ACCESS.2023.3314697;"Research on Intelligent Monitoring and Early Warning Technology for Major Rice Pests and Diseases of the Sichuan Provincial Department of Science and Technology(grant numbers:2022NSFSC0172); Innovation and Entrepreneurship Training Program for College Students(grant numbers:202310626014); ";https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10250915;"Computer vision;deep learning;digital agriculture;object detection;pest control";"Diseases;Training;Computational modeling;Deep learning;Biological system modeling;Generative adversarial networks;Monitoring;Computer vision;Deep learning;Object detection;Pest control";"agriculture;computer vision;convolutional neural nets;crops;deep learning (artificial intelligence);feature extraction;image classification;object detection;pest control;plant diseases";"deep learning models;FastGAN image generation technology;FCBTYOLO model;FCBTYOLO object detection model;fine-grained visual detection tasks;fully connected bottleneck transformer module;Gpest14 dataset;high-performance fine grain detection strategy;large-scale rice pest dataset;lightweight performance fine grain detection strategy;mean average precision;memory size 6.7 MByte;memory size 8.3 MByte;paddy pests;pest control;pest datasets;pest detection model;population density variance;public Pest24 dataset;rice pests;single pest image;time 16.8 ms;YOLOv8n architecture backbone;YOLOv8n model";;;;20;CCBYNCND;13.9.2023;;;IEEE;IEEE Journals
Design of Crop Recommender System using Machine Learning and IoT;"J. S. Jeyanathan; B. Veerasamy; B. Medha; G. T. V. Sai; R. B. Kumar; V. Sahu";"Department of Electronics and Communication Engineering, Kalasalingam Academy of Research and Education Anand Nagar, Krishnankoil, India; Department of Electronics and Communication Engineering, Kalasalingam Academy of Research and Education Anand Nagar, Krishnankoil, India; Department of Electronics and Communication Engineering, Kalasalingam Academy of Research and Education Anand Nagar, Krishnankoil, India; Department of Electronics and Communication Engineering, Kalasalingam Academy of Research and Education Anand Nagar, Krishnankoil, India; Department of Electronics and Communication Engineering, Kalasalingam Academy of Research and Education Anand Nagar, Krishnankoil, India; Department of Electronics and Communication Engineering, Kalasalingam Academy of Research and Education Anand Nagar, Krishnankoil, India";2023 7th International Conference on Trends in Electronics and Informatics (ICOEI);24.5.2023;2023;;;1127;1132;Agriculture is one of the key drivers of Indian economy. The primary problem now confronting Indian farmers is that farmers don't choose the right crop based on their land requirements. A significant decline in production is seen as a result. Precision agriculture will provide the farmers with a solution to this problem. To suggest the optimal crop to farmers based on site-specific criteria, precision agriculture uses research data on soil types, features, and crop yields. With the help of an intelligent system, this study aims to help Indian farmers increase crop productivity by selecting the right type of soil. The proposed prototype considers soil characteristics, such as pH value, soil temperature, and soil moisture, as well as environmental factors, such as humidity, as inputs to the machine learning algorithm for decision-making. The output is integrated with the web program known as proteus. The entire prototype is designed using STM32 ARM Processor and simulated using proteus, and the same is implemented using the Nucleo board by integrating the humidity, pH, and temperature sensors for collecting the input data. The result of the prototype is also displayed in the Blynk app as well as the LCD display, where the system recommends the appropriate crop.;;979-8-3503-9728-4;10.1109/ICOEI56765.2023.10125963;;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10125963;"crop recommendation system;STM32;ESP8266;pH values;annual rainfall;Humidity;Temperature;Soil moisture;Proteus";"Temperature sensors;Temperature;Soil moisture;Crops;Prototypes;Humidity;Soil";"agriculture;crops;environmental factors;Internet of Things;learning (artificial intelligence);recommender systems;soil;temperature sensors";"appropriate crop;crop productivity;crop recommender system;crop yields;help Indian farmers;Indian economy;intelligent system;land requirements;optimal crop;precision agriculture;primary problem;right crop;significant decline;site-specific criteria;soil characteristics;soil moisture;soil temperature;soil types";;;;25;IEEE;24.5.2023;;;IEEE;IEEE Conferences
ITS Based on Deep Graph Convolutional Fraud Detection Network Blockchain-Enabled Fog-Cloud;"A. Lakhan; M. A. Mohammed; D. A. Ibrahim; S. Kadry; K. H. Abdulkareem";"College of Computer Science and Artificial Intelligence, Wenzhou University, Wenzhou, China; College of Computer Science and Information Technology, University of Anbar, Anbar, Iraq; Communications Engineering Techniques Department, Information Technology Collage, Imam Ja’afar Al-Sadiq University, Baghdad, Iraq; Faculty of Applied Computing and Technology, Noroff University College, Kristiansand, Norway; College of Agriculture, Al-Muthanna University, Samawah, Iraq";IEEE Transactions on Intelligent Transportation Systems;2.8.2023;2023;24;8;8399;8408;The advancement in transport applications increases at the everyday progress in technologies. Therefore, intelligent transport systems (ITS) gain a lot of progress at the different vehicle levels and in the vehicular area network. However, privacy and security at the network level are critical issues for ITS applications in the existing mechanism. In this paper, the study devises the cost-efficient and secure Serverless Blockchain Enable Task Scheduling (SBETS) ITS system and algorithm framework. The main goal is to reduce processing and security blockchian costs for ITS applications in the system. The processing cost minimizes based on the new proposed function-based price model and secures the data by a suggested deep graph convolutional neural network scheme in the network. The simulation results show that SBETS outperformed all existing ITS systems and minimized processing costs by 10% and fraud detection issues by 50% for transport applications.;1558-0016;;10.1109/TITS.2022.3147852;;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9714858;"SBETS;deep graph convolutional fraud detection;mined;function;blockchain;ITS";"Costs;Blockchains;Security;Task analysis;Data models;Cloud computing;Monitoring";"blockchains;cloud computing;convolutional neural nets;data privacy;deep learning (artificial intelligence);fraud;graph theory;intelligent transportation systems;pricing";"algorithm framework;deep graph convolutional fraud detection network Blockchain-enabled fog-cloud;different vehicle levels;everyday progress;existing ITS systems;existing mechanism;fraud detection issues;function-based price model;intelligent transport systems;ITS applications;minimized processing costs;network level;privacy;processing cost minimizes;secures;security blockchian costs;suggested deep graph convolutional neural network scheme;transport applications increases;vehicular area network";;9;;28;IEEE;16.2.2022;;;IEEE;IEEE Journals
Toward Generalization of Deep Learning-Based Plant Disease Identification Under Controlled and Field Conditions;"A. Ahmad; A. E. Gamal; D. Saraswat";"Elmore Family School of Electrical and Computer Engineering, Purdue University, West Lafayette, IN, USA; Elmore Family School of Electrical and Computer Engineering, Purdue University, West Lafayette, IN, USA; Department of Agricultural and Biological Engineering, Purdue University, West Lafayette, IN, USA";IEEE Access;31.1.2023;2023;11;;9042;9057;Identifying corn diseases under field conditions is crucial for implementing effective disease management systems. Deep learning (DL)-based plant disease identification using deep neural networks (DNN) has been successfully implemented in recent years. Recent work suggests DL models trained on lab-acquired image data do not generalize to similar accuracy levels for identifying diseases in the field. Additionally, most studies have not evaluated the generalizability of DL models for identifying plant diseases from various datasets and diverse imaging conditions. This study evaluates how well DL models generalize across different datasets and environmental conditions for identifying plant diseases using five datasets consisting of foliar disease images in corn: namely PlantVillage, PlantDoc, Digipathos, northern leaf blight (NLB) dataset, and a custom acquired CD&S dataset. Multiple DL-based image classification models were trained and evaluated using different dataset combinations. Transfer learning was utilized using five different pre-trained DNN architectures: InceptionV3, ResNet50, VGG16, DesneNet169, and Xception, for conducting four different experiments. After training the models, images for distinct corn diseases from different datasets were used as testing data for evaluating the generalization ability of each DL model. It was observed that the DenseNet169 model performed the best. The highest generalization accuracy of 81.60% was observed when the DenseNet169 model was trained using red, green, blue, and alpha (RGBA) images from CD&S corn disease dataset with removed backgrounds. In addition, 77.50% to 80.33% accuracy was achieved for the PlantVillage dataset when combined with field-acquired images from either the PlantDoc or the CD&S dataset. The results suggest that background removal using RGBA images from CD&S dataset or augmentation of field and lab data improves the generalization performance of DL models and could be used for developing field-deployable disease management systems.;2169-3536;;10.1109/ACCESS.2023.3240100;"Wabash Heartland Innovation Network (WHIN)(grant numbers:18024589); U.S. Department of Agriculture (USDA) National Institute of Food and Agriculture (NIFA) Hatch Project(grant numbers:1012501); Purdue University Libraries Open Access Publishing Fund; ";https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10026479;"Deep learning;disease identification;generalization;image classification";"Diseases;Deep learning;Feature extraction;Image classification;Training;Computer architecture;Crops;Plants";"agricultural products;agriculture;convolutional neural nets;deep learning (artificial intelligence);image classification;image colour analysis;plant diseases";"CD&S corn disease dataset;controlled condition;corn disease identification;deep learning-based plant disease identification;deep neural networks;DenseNet169 model;Digipathos dataset;DL-based image classification models;DNN architecture pretraining;environmental conditions;field condition;field-deployable disease management systems;foliar disease images;generalization performance;northern leaf blight dataset;PlantDoc dataset;PlantVillage dataset;RGBA images;transfer learning";;7;;39;CCBYNCND;26.1.2023;;;IEEE;IEEE Journals
Fast and Accurate Multi-Classification of Kiwi Fruit Disease in Leaves using deep learning Approach;"D. Banerjee; V. Kukreja; S. Hariharan; V. Sharma";"Chitkara University, Institute of Engineering AND Technology, Chitkara University, Punjab, India; Chitkara University, Institute of Engineering AND Technology, Chitkara University, Punjab, India; Department of Computer Science and Engineering, Vardhaman College of Engineering, Hyderabad, India; Amity Institute of Information Technology, Amity University, Noida Campus, India";2023 International Conference on Innovative Data Communication Technologies and Application (ICIDCA);20.4.2023;2023;;;131;137;Kiwi leaf disease manual detection is a time-consuming method that typically calls for the understanding of actual professionals. This study presents a machine learning approach for the automated detection of kiwi leaf diseases. The proposed method makes use of a dataset of annotated photos to differentiate healthy and sick kiwi leaves. The proposed approach has the potential to greatly reduce the amount of time and money required for kiwi leaf disease detection, enabling more rapid and efficient management of kiwi agricultural production. In this study, the kiwi fruit leaf illnesses were detected using a machine learning CNN & SVM approach. This is one of the key research areas in education. The proportion used to split the information into training and validation was 80:20 during the execution of this research. Our experimental results demonstrate that, with an overall accuracy of 83.34%, the proposed approach successfully detected 5 different forms of kiwi leaf diseases, namely Healthy leaf, Anthracnose, Brown spot, Bacterial canker, and Mosaic. The suggested method can be used for other types of plant disease detection as well, and it can significantly reduce the time and money associated with the manual detection of kiwi leaf diseases.;;979-8-3503-9720-8;10.1109/ICIDCA56705.2023.10099755;;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10099755;"Multiclassification;Leaf diseases;Kiwi fruit;Deep Learning";"Deep learning;Support vector machines;Training;Plant diseases;Microorganisms;Manuals;Production";"agricultural products;agriculture;convolutional neural nets;deep learning (artificial intelligence);diseases;feature extraction;image classification;learning (artificial intelligence);pattern classification;plant diseases;support vector machines";"automated detection;differentiate healthy kiwi leaves;Healthy leaf;kiwi agricultural production;kiwi fruit disease;kiwi fruit leaf illnesses;kiwi leaf disease detection;kiwi leaf disease manual detection;kiwi leaf diseases;machine learning approach;plant disease detection;sick kiwi leaves";;9;;17;IEEE;20.4.2023;;;IEEE;IEEE Conferences
Crop Type Classification by DESIS Hyperspectral Imagery and Machine Learning Algorithms;"N. Farmonov; K. Amankulova; J. Szatmári; A. Sharifi; D. Abbasi-Moghadam; S. M. Mirhoseini Nejad; L. Mucsi";"Department of Geoinformatics, Physical and Environmental Geography, University of Szeged, Szeged, Hungary; Department of Geoinformatics, Physical and Environmental Geography, University of Szeged, Szeged, Hungary; Department of Geoinformatics, Physical and Environmental Geography, University of Szeged, Szeged, Hungary; Surveying Engineering, Faculty of Civil Engineering, Shahid Rajaee Teachers Training University, Tehran, Iran; Department of Electrical Engineering, Shahid Bahonar University of Kerman, Kerman, Iran; Department of Electrical Engineering, Shahid Bahonar University of Kerman, Kerman, Iran; Department of Geoinformatics, Physical and Environmental Geography, University of Szeged, Szeged, Hungary";IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing;8.2.2023;2023;16;;1576;1588;Developments in space-based hyperspectral sensors, advanced remote sensing, and machine learning can help crop yield measurement, modelling, prediction, and crop monitoring for loss prevention and global food security. However, precise and continuous spectral signatures, important for large-area crop growth monitoring and early prediction of yield production with cutting-edge algorithms, can be only provided via hyperspectral imaging. Therefore, this article used new-generation Deutsches Zentrum für Luft- und Raumfahrt Earth Sensing Imaging Spectrometer (DESIS) images to classify the main crop types (hybrid corn, soybean, sunflower, and winter wheat) in Mez?hegyes (southeastern Hungary). A Wavelet-attention convolutional neural network (WA-CNN), random forest and support vector machine (SVM) algorithms were utilized to automatically map the crops over the agricultural lands. The best accuracy was achieved with the WA-CNN, a feature-based deep learning algorithm and a combination of two images with overall accuracy (OA) value of 97.89% and the user's accuracy producer's accuracy was from 97% to 99%. To obtain this, first, factor analysis was introduced to decrease the size of the hyperspectral image data cube. A wavelet transform was applied to extract important features and combined with the spectral attention mechanism CNN to gain higher accuracy in mapping crop types. Followed by SVM algorithm reported OA of 87.79%, with the producer's and user's accuracies of its classes ranging from 79.62% to 96.48% and from 79.63% to 95.73%, respectively. These results demonstrate the potentiality of DESIS data to observe the growth of different crop types and predict the harvest volume, which is crucial for farmers, smallholders, and decision-makers.;2151-1535;;10.1109/JSTARS.2023.3239756;"University of Szeged Open Access Fund(grant numbers:6009); Ministry of Innovation and Technology of Hungary; Nemzeti Kutatási, Fejlesztési és Innovaciós Alap(grant numbers:TKP2021-NVA-09,TKP2021-NVA); ";https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10032208;"DLR earth sensing imaging spectrometer (DESIS);hyperspectral remote sensing;random forest (RF);spectral library;yield prediction";"Crops;Feature extraction;Hyperspectral imaging;Wavelet transforms;Sensors;Earth;Support vector machines";"agriculture;convolutional neural nets;crops;deep learning (artificial intelligence);feature extraction;food security;geophysical image processing;hyperspectral imaging;image classification;learning (artificial intelligence);pattern classification;random forests;remote sensing;support vector machines;vegetation mapping;wavelet transforms";"advanced remote sensing;continuous spectral signatures;crop monitoring;crop type classification;crop yield measurement;cutting-edge algorithms;DESIS data;DESIS hyperspectral imagery;feature-based deep learning algorithm;global food security;hybrid corn;hyperspectral image data cube;hyperspectral imaging;large-area crop growth monitoring;loss prevention;Luft- und Raumfahrt Earth Sensing Imaging Spectrometer images;machine learning algorithms;main crop types;mapping crop types;Mezohegyes;new-generation Deutsches Zentrum;precise signatures;random forest;southeastern Hungary;space-based hyperspectral sensors;spectral attention mechanism CNN;SVM algorithm;WA-CNN;wavelet transform;Wavelet-attention convolutional neural network;winter wheat";;8;;56;CCBY;30.1.2023;;;IEEE;IEEE Journals
